old_id,new_id,action
arithmetic-sequence-functions,arithmetic-sequence,merged
geometric-sequence-functions,geometric-sequence,merged
perfect-square-trinomial-factoring,perfect-square-trinomial,merged
zero-product-property-factoring,zero-product-property,merged
leading-coefficient-factoring,leading-coefficient,merged
vertex-form-quadratics,vertex-form,merged
axis-of-symmetry-quadratics,axis-of-symmetry,merged
prove-proof,prove,merged
inverse-proof,inverse,merged
isosceles-triangle-triangles,isosceles-triangle,merged
ratio-of-areas-of-similar-figures-similarity,ratio-of-areas-of-similar-figures,merged
inscribed-angle-circles,inscribed-angle,merged
area-of-a-sector-circles,area-of-a-sector,merged
slant-height-volume,slant-height,merged
reflection-transformations,reflection,merged
complex-conjugate-numbers,complex-conjugate,merged
remainder-theorem-polynomials,remainder-theorem,merged
rational-function-functions,rational-function,merged
complex-fraction-functions,complex-fraction,merged
rational-exponent-functions,rational-exponent,merged
radical-function-functions,radical-function,merged
radical-equation-functions,radical-equation,merged
infinite-geometric-series-series,infinite-geometric-series,merged
z-score-statistics,z-score,merged
average-rate-of-change-functions,average-rate-of-change,merged
composition-of-transformations-functions,composition-of-transformations,merged
composition-linalg,composition-of-transformations,merged
absolute-value-equation-functions,absolute-value-equation,merged
double-angle-formulas-trigonometry,double-angle-formulas,merged
half-angle-formulas-trigonometry,half-angle-formulas,merged
component-form-vectors,component-form,merged
dot-product-vectors,dot-product,merged
parametric-equations-complex,parametric-equations,merged
base-case-induction,base-case,merged
squeeze-theorem-limits,squeeze-theorem,merged
removable-discontinuity-limits,removable-discontinuity,merged
power-rule-basics,power-rule,merged
chain-rule-advanced,chain-rule,merged
implicit-differentiation-advanced,implicit-differentiation,merged
linearization-applications,linearization,merged
extreme-value-theorem-applications,extreme-value-theorem,merged
critical-point-applications,critical-point,merged
first-derivative-test-applications,first-derivative-test,merged
absolute-extrema-applications,absolute-extrema,merged
concavity-applications,concavity,merged
riemann-sum-integration,riemann-sum,merged
fundamental-theorem-of-calculus-integration,fundamental-theorem-of-calculus,merged
function-defined-by-an-integral-integration,function-defined-by-an-integral,merged
integration-by-parts-techniques,integration-by-parts,merged
extrapolation-variable,extrapolation,merged
properties-of-logarithms-functions,properties-of-logarithms,merged
logarithmic-differentiation-derivatives,logarithmic-differentiation,merged
summation-notation-integration,summation-notation,merged
linear-transformation-transformations,linear-transformation,merged
one-to-one-transformations,one-to-one,merged
sample-space-probability,sample-space,merged
point-estimate-intervals,point-estimate,merged
proof-by-contradiction-proofs,proof-by-contradiction,merged
floor-function-functions,floor-function,merged
division-algorithm-theory,division-algorithm,merged
recursive-definition-recursion,recursive-definition,merged
direction-field,slope-field,merged
area-polar-calc2,area-in-polar-coordinates,merged
conics-in-polar-coordinates,polar-equations-of-conics,merged
stem-and-leaf-stats,stem-and-leaf-plot,merged
inclusion-exclusion,inclusion-exclusion-principle,merged
related-rates-calc1,related-rates,merged
trapezoidal-sum,trapezoidal-rule,merged
end-behavior-alg2,end-behavior,merged
reference-angle-alg2,reference-angle,merged
orthogonal-projection-linalg,orthogonal-projection,merged
sum-and-difference-formulas,angle-addition-formulas,merged
u-substitution,integration-by-substitution,merged
distance,distance-traveled,renamed
distance-zukei,distance,renamed
base-zukei,base-of-a-solid,renamed
base-shikakkei,base-of-a-triangle,renamed
cube-zukei,cube-solid,renamed
less-than-suu,strictly-less-than,renamed
solve-for,solve-instruction,renamed
solve-for-keisan,solve-for,renamed
divisor-keisan,divisor-in-division,renamed
substitution-houteishiki,substitution-method,renamed
substitution-shiki,substitution-new-variable,renamed
range,range-of-data,renamed
range-kansuu,range,renamed
corresponding-angles-goudou,corresponding-angles-of-congruent-figures,renamed
square-shikakkei,square-shape,renamed
square-heihoukon,square-a-number,renamed
opposite-shikakkei,opposite-facing,renamed
factor-insuubunkai,factor-an-expression,renamed
group,group-into-classes,renamed
group-insuubunkai,group-terms,renamed
estimate,bound-estimate,renamed
estimate-chousa,estimate,renamed
intersection,point-of-intersection,renamed
intersection-meidai,intersection,renamed
hypothesis-bunseki,statistical-hypothesis,renamed
variable-bunseki,statistical-variable,renamed
complement-kakuritsu,complementary-event,renamed
addition-rule,addition-principle,renamed
addition-rule-kakuritsu,addition-rule,renamed
multiplication-rule,multiplication-principle,renamed
multiplication-rule-kakuritsu,multiplication-rule,renamed
median-seishitsu,median-of-a-triangle,renamed
congruence-katsudou,congruence-modulo-n,renamed
decimal-katsudou,decimal-system,renamed
sketch,sketch-of-a-solid,renamed
sketch-houteishiki,sketch,renamed
arithmetic-mean-suuretsu,arithmetic-middle-term,renamed
geometric-mean-suuretsu,geometric-middle-term,renamed
approximation,approximate-number,renamed
approximation-seikatsu,approximation,renamed
arc-length-sekibun,arc-length-of-a-curve,renamed
modulus-heimen,modulus-of-a-complex-number,renamed
argument-heimen,argument-of-a-complex-number,renamed
edge-kufuu,edge-of-a-graph,renamed
path-kufuu,path-in-a-graph,renamed
find-the-inverse-kufuu,find-the-inverse-matrix,renamed
graph-hanpirei,draw-a-graph,renamed
graph-kufuu,graph-network,renamed
secant,secant-line,renamed
secant-trigonometry,secant,renamed
power-proportions,statistical-power,renamed
implicit-function-derivatives,implicit-function-theorem,renamed
survey-data,questionnaire,renamed
quadratic-form,equation-in-quadratic-form,renamed
quadratic-form-linalg,quadratic-form,renamed
x,parent-function,renamed
substitute,substitute-new-variable,renamed
plug-in,substitute,renamed
move-to-the-other-side,move-term-to-other-side,renamed
arc-length-integration,arc-length-of-a-curve,merged
unit-rate,,out-of-scope
foot,,out-of-scope
mile,,out-of-scope
sales-tax,,out-of-scope
tip,,out-of-scope
